RESPONDENT,MARITAL,AGE,EDUC,SEX,SIBS,CHILDS,HOMPOP,PRESTG80,INCOME06,RINCOM06,SATFIN,HRS1,DWELOWN,SEI,HAPMAR,EVSTRAY,SPANKING,ABANY,ABDEFCTW,MARHOMO,HAPPY,HEALTH,LIFE,LETDIE1,OWNGUN,NEWS,TVHOURS,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,SEXORNT,FECHLD,FEPRESCH,FEFAM
1749,1,40,16,2,3,2,4,65,23,21,1,27,0,76.4,1,0,0,0,4,5,1,1,1,7,1,0,-1,1,6,6,0,0,0,0,0,0,0,1,2,2,1,1,1,3,1,0,0,0,4,3,1,41,3,6,2,1,2,1,7,0,0,1,2,0,1,5,3,0,0,0
1750,2,70,12,2,4,3,1,47,13,0,2,-1,1,48.5,0,0,2,7,4,0,2,0,0,7,7,2,6,7,5,6,0,0,0,0,0,0,0,2,3,1,1,1,7,2,0,0,0,1,3,3,1,12,1,7,1,1,1,0,0,2,2,0,1,0,0,0,3,3,3,2
1751,3,57,14,2,1,2,1,0,15,99,3,-1,3,-1,0,1,3,7,4,0,1,0,0,7,7,4,3,7,0,3,0,0,0,0,0,0,0,1,1,1,1,1,7,3,1,0,0,1,3,5,1,60,1,4,2,1,2,1,1,1,1,0,1,0,1,5,3,1,3,4
1752,1,41,17,2,3,4,5,66,19,14,1,40,1,73.2,1,0,2,7,1,0,1,0,0,7,7,3,1,7,4,7,0,0,0,0,0,0,0,8,2,8,2,1,7,3,0,0,0,3,3,4,1,14,1,8,1,1,2,1,1,1,1,0,1,0,1,5,3,2,3,2
1753,3,34,14,1,9,2,1,30,18,18,3,75,1,31.5,0,1,2,0,0,5,2,2,2,7,0,3,3,0,2,4,0,0,0,0,0,0,0,1,1,1,1,1,1,2,7,0,0,2,0,0,1,18,1,7,2,1,2,1,1,1,1,1,0,7,2,3,3,2,3,2
1754,3,28,16,1,3,0,1,0,20,99,1,40,2,-1,0,0,1,0,0,5,1,1,1,7,1,4,3,1,5,6,0,0,0,0,0,0,0,2,2,3,3,1,0,2,7,0,0,3,0,0,1,60,1,6,2,1,2,1,1,1,1,1,0,7,1,5,3,4,3,2
1755,3,48,13,2,2,3,1,0,12,99,2,-1,1,-1,0,1,2,7,1,0,2,0,0,7,7,2,3,7,1,6,0,0,0,0,0,0,0,1,3,1,2,1,7,2,0,0,0,1,3,1,1,18,1,4,1,1,2,1,0,1,1,0,2,0,0,0,3,1,3,2
1756,1,22,13,1,2,1,3,51,18,14,2,60,2,63.5,2,0,1,7,1,0,1,0,0,7,7,4,1,7,4,4,0,0,0,0,0,0,0,3,1,2,1,1,7,2,1,0,0,1,3,4,1,14,1,4,2,1,2,1,1,1,1,0,1,0,1,4,3,2,3,1
1757,1,22,15,2,7,1,3,23,17,0,1,-1,1,35.2,2,0,2,7,1,0,2,0,0,7,7,4,1,7,2,5,0,0,0,0,0,0,0,1,2,1,1,1,7,2,0,0,0,2,2,2,1,14,1,3,1,1,5,1,1,3,1,0,1,0,1,2,3,2,3,3
1758,5,48,12,2,9,3,4,0,18,99,2,52,1,-1,0,7,1,7,2,0,3,0,0,7,7,2,3,7,0,4,0,0,0,0,0,0,0,1,1,2,1,0,7,2,0,0,0,3,2,1,1,10,1,7,1,1,1,1,1,3,1,0,1,0,1,3,3,1,1,3
1759,1,67,12,1,7,3,2,34,18,0,2,-1,1,37.2,2,0,1,7,1,0,2,0,0,7,7,1,1,7,1,5,0,0,0,0,0,0,0,1,3,8,2,1,7,2,0,0,0,2,2,3,1,10,1,5,1,1,2,1,1,1,1,0,1,0,0,0,3,3,2,2
1760,1,55,15,2,2,2,2,60,22,14,2,48,0,43.7,2,0,0,0,1,4,2,1,1,7,1,0,-1,1,5,4,0,0,0,0,0,0,0,2,2,2,3,1,1,2,0,0,0,0,2,3,1,60,1,4,1,1,1,1,7,0,0,1,1,0,1,2,3,0,0,0
1761,4,37,12,2,8,4,6,31,10,9,2,37,0,27.5,0,7,0,0,1,5,3,3,2,7,0,0,-1,0,0,3,0,0,0,0,0,0,0,1,1,2,1,0,1,2,0,0,0,0,5,3,1,11,2,8,1,1,3,1,7,0,0,1,2,0,-1,-1,0,0,0,0
1762,1,64,12,2,2,3,2,31,13,0,1,-1,0,27.5,1,7,0,0,4,4,3,4,1,7,0,0,-1,1,0,7,0,0,0,0,0,0,0,2,2,2,1,1,1,2,0,0,0,0,1,1,1,11,2,7,2,8,1,0,7,0,0,1,1,0,-1,-1,0,0,0,0
1763,3,46,10,2,3,2,1,31,6,0,2,-1,0,27.5,0,0,0,8,1,8,2,3,3,7,0,0,-1,1,3,8,0,0,0,0,0,0,0,2,1,8,1,8,8,8,0,0,0,0,4,8,1,18,1,5,2,1,2,1,7,0,0,8,8,0,0,1,3,0,0,0
1764,4,68,12,1,6,2,1,50,9,0,2,-1,1,32.7,0,7,2,7,1,0,2,0,0,7,7,2,3,7,0,4,0,0,0,0,0,0,0,1,1,2,1,1,7,2,0,0,0,1,1,3,1,18,1,8,1,1,1,1,1,4,1,0,2,0,-1,-1,0,8,2,2
1765,1,45,12,1,7,4,5,0,20,99,3,62,1,-1,1,7,2,7,1,0,2,0,0,0,7,3,5,7,0,3,1,1,1,1,3,3,1,1,1,2,0,1,7,2,1,1,3,0,0,0,1,18,1,5,1,1,2,1,1,4,1,0,2,0,-1,-1,0,1,3,2
1766,1,70,12,2,2,4,2,28,14,0,2,-1,1,17.1,1,7,1,0,0,5,2,4,2,0,1,2,4,1,6,4,2,1,2,1,1,2,3,1,2,2,0,1,0,2,7,2,3,0,0,0,1,22,3,7,1,1,1,1,1,1,1,1,0,7,-1,-1,0,3,3,3
1767,1,30,11,1,4,0,5,27,15,12,3,-1,2,34.3,1,0,2,0,0,2,1,3,3,1,0,3,8,0,5,4,1,1,1,1,3,3,1,8,1,1,0,1,0,2,7,4,2,0,0,0,2,0,2,2,2,1,5,0,1,4,1,1,0,7,1,6,3,3,3,4
1768,3,55,12,1,4,2,1,0,12,99,3,-1,1,-1,0,7,1,7,4,0,3,0,0,1,7,4,8,7,3,4,2,1,2,2,1,3,2,1,1,3,0,1,7,2,1,4,1,0,0,0,1,14,1,8,1,8,2,1,1,4,2,0,2,0,-1,-1,0,2,1,3
1769,1,52,12,1,5,2,2,33,18,16,1,40,1,27.7,1,0,2,7,4,0,2,0,0,1,7,1,5,7,1,4,1,1,1,1,1,2,2,1,1,2,0,1,7,2,1,4,1,0,0,0,1,14,1,1,2,1,1,0,1,4,3,0,2,1,1,2,3,1,3,4
1770,1,34,12,2,2,3,2,57,98,16,3,40,1,57.1,1,0,2,7,1,0,2,0,0,8,7,1,0,7,5,6,2,1,2,1,2,3,3,1,2,2,0,1,7,2,0,4,3,0,0,0,11,70,2,4,9,8,2,1,1,3,1,0,2,0,1,3,3,1,4,2
